業務別,"銀行代號/BIC",金融機構名稱
"全國性繳費/稅業務-晶片金融卡繳費作業",807,永豐商業銀行
"全國性繳費/稅業務-晶片金融卡繳費作業",808,玉山商業銀行
"全國性繳費/稅業務-晶片金融卡繳費作業",809,凱基商業銀行
"全國性繳費/稅業務-晶片金融卡繳費作業",810,星展(台灣)商業銀行
"全國性繳費/稅業務-晶片金融卡繳費作業",812,台新國際商業銀行
"全國性繳費/稅業務-晶片金融卡繳費作業",815,日盛國際商業銀行
"全國性繳費/稅業務-晶片金融卡繳費作業",816,安泰商業銀行
"全國性繳費/稅業務-晶片金融卡繳費作業",822,中國信託商業銀行
"全國性繳費/稅業務-晶片金融卡繳費作業",952,財團法人農漁會南區資訊中心
"全國性繳費/稅業務-晶片金融卡繳費作業",997,中華民國信用合作社聯合社南區聯合資訊處理中心
"全國性繳費/稅業務-約定授權繳費作業",004,臺灣銀行
"全國性繳費/稅業務-約定授權繳費作業",005,臺灣土地銀行
"全國性繳費/稅業務-約定授權繳費作業",006,合作金庫商業銀行
"全國性繳費/稅業務-約定授權繳費作業",007,第一商業銀行
"全國性繳費/稅業務-約定授權繳費作業",008,華南商業銀行
"全國性繳費/稅業務-約定授權繳費作業",009,彰化商業銀行
"全國性繳費/稅業務-約定授權繳費作業",011,上海商業儲蓄銀行
"全國性繳費/稅業務-約定授權繳費作業",012,台北富邦商業銀行
"全國性繳費/稅業務-約定授權繳費作業",013,國泰世華商業銀行
"全國性繳費/稅業務-約定授權繳費作業",016,高雄銀行
"全國性繳費/稅業務-約定授權繳費作業",017,兆豐國際商業銀行
"全國性繳費/稅業務-約定授權繳費作業",022,美國銀行台北分行
"全國性繳費/稅業務-約定授權繳費作業",050,臺灣中小企業銀行
"全國性繳費/稅業務-約定授權繳費作業",052,渣打國際商業銀行
"全國性繳費/稅業務-約定授權繳費作業",053,台中商業銀行
"全國性繳費/稅業務-約定授權繳費作業",054,京城商業銀行
"全國性繳費/稅業務-約定授權繳費作業",101,瑞興商業銀行
"全國性繳費/稅業務-約定授權繳費作業",102,華泰商業銀行
"全國性繳費/稅業務-約定授權繳費作業",103,臺灣新光商業銀行
"全國性繳費/稅業務-約定授權繳費作業",108,陽信商業銀行
"全國性繳費/稅業務-約定授權繳費作業",114,基隆第一信用合作社
"全國性繳費/稅業務-約定授權繳費作業",115,基隆市第二信用合作社
"全國性繳費/稅業務-約定授權繳費作業",118,板信商業銀行
"全國性繳費/稅業務-約定授權繳費作業",119,淡水第一信用合作社
"全國性繳費/稅業務-約定授權繳費作業",130,新竹第一信用合作社
"全國性繳費/稅業務-約定授權繳費作業",132,新竹第三信用合作社
"全國性繳費/稅業務-約定授權繳費作業",146,台中市第二信用合作社
"全國性繳費/稅業務-約定授權繳費作業",147,三信商業銀行
"全國性繳費/稅業務-約定授權繳費作業",162,彰化第六信用合作社
"全國性繳費/稅業務-約定授權繳費作業",204,高雄市第三信用合作社
"全國性繳費/稅業務-約定授權繳費作業",215,花蓮第一信用合作社
"全國性繳費/稅業務-約定授權繳費作業",216,花蓮第二信用合作社
"全國性繳費/稅業務-約定授權繳費作業",600,農金資訊股份有限公司
"全國性繳費/稅業務-約定授權繳費作業",803,聯邦商業銀行
"全國性繳費/稅業務-約定授權繳費作業",805,遠東國際商業銀行
"全國性繳費/稅業務-約定授權繳費作業",806,元大商業銀行
"全國性繳費/稅業務-約定授權繳費作業",807,永豐商業銀行
"全國性繳費/稅業務-約定授權繳費作業",808,玉山商業銀行
"全國性繳費/稅業務-約定授權繳費作業",809,凱基商業銀行
"全國性繳費/稅業務-約定授權繳費作業",810,星展(台灣)商業銀行
"全國性繳費/稅業務-約定授權繳費作業",812,台新國際商業銀行
"全國性繳費/稅業務-約定授權繳費作業",815,日盛國際商業銀行
"全國性繳費/稅業務-約定授權繳費作業",816,安泰商業銀行
"全國性繳費/稅業務-約定授權繳費作業",952,財團法人農漁會南區資訊中心
"全國性繳費/稅業務-約定授權繳費作業",997,中華民國信用合作社聯合社南區聯合資訊處理中心
"全國性繳費/稅業務-活期性帳戶繳稅作業",004,臺灣銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",005,臺灣土地銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",006,合作金庫商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",007,第一商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",008,華南商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",009,彰化商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",011,上海商業儲蓄銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",012,台北富邦商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",013,國泰世華商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",016,高雄銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",017,兆豐國際商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",021,花旗(台灣)商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",048,王道商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",050,臺灣中小企業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",052,渣打國際商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",053,台中商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",054,京城商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",101,瑞興商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",102,華泰商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",103,臺灣新光商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",108,陽信商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",114,基隆第一信用合作社
"全國性繳費/稅業務-活期性帳戶繳稅作業",115,基隆市第二信用合作社
"全國性繳費/稅業務-活期性帳戶繳稅作業",118,板信商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",119,淡水第一信用合作社
"全國性繳費/稅業務-活期性帳戶繳稅作業",130,新竹第一信用合作社
"全國性繳費/稅業務-活期性帳戶繳稅作業",132,新竹第三信用合作社
"全國性繳費/稅業務-活期性帳戶繳稅作業",146,台中市第二信用合作社
"全國性繳費/稅業務-活期性帳戶繳稅作業",147,三信商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",162,彰化第六信用合作社
"全國性繳費/稅業務-活期性帳戶繳稅作業",215,花蓮第一信用合作社
"全國性繳費/稅業務-活期性帳戶繳稅作業",216,花蓮第二信用合作社
"全國性繳費/稅業務-活期性帳戶繳稅作業",600,農金資訊股份有限公司
"全國性繳費/稅業務-活期性帳戶繳稅作業",700,中華郵政股份有限公司
"全國性繳費/稅業務-活期性帳戶繳稅作業",803,聯邦商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",805,遠東國際商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",806,元大商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",807,永豐商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",808,玉山商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",809,凱基商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",810,星展(台灣)商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",812,台新國際商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",815,日盛國際商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",816,安泰商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",822,中國信託商業銀行
"全國性繳費/稅業務-活期性帳戶繳稅作業",952,財團法人農漁會南區資訊中心
"全國性繳費/稅業務-活期性帳戶繳稅作業",997,中華民國信用合作社聯合社南區聯合資訊處理中心
"全國性繳費/稅業務-晶片金融卡繳稅作業",004,臺灣銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",005,臺灣土地銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",006,合作金庫商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",007,第一商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",008,華南商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",009,彰化商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",011,上海商業儲蓄銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",012,台北富邦商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",013,國泰世華商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",016,高雄銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",017,兆豐國際商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",021,花旗(台灣)商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",048,王道商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",050,臺灣中小企業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",052,渣打國際商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",053,台中商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",054,京城商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",101,瑞興商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",102,華泰商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",103,臺灣新光商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",108,陽信商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",114,基隆第一信用合作社
"全國性繳費/稅業務-晶片金融卡繳稅作業",115,基隆市第二信用合作社
"全國性繳費/稅業務-晶片金融卡繳稅作業",118,板信商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",119,淡水第一信用合作社
"全國性繳費/稅業務-晶片金融卡繳稅作業",130,新竹第一信用合作社
"全國性繳費/稅業務-晶片金融卡繳稅作業",132,新竹第三信用合作社
"全國性繳費/稅業務-晶片金融卡繳稅作業",146,台中市第二信用合作社
"全國性繳費/稅業務-晶片金融卡繳稅作業",147,三信商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",162,彰化第六信用合作社
"全國性繳費/稅業務-晶片金融卡繳稅作業",215,花蓮第一信用合作社
"全國性繳費/稅業務-晶片金融卡繳稅作業",216,花蓮第二信用合作社
"全國性繳費/稅業務-晶片金融卡繳稅作業",600,農金資訊股份有限公司
"全國性繳費/稅業務-晶片金融卡繳稅作業",700,中華郵政股份有限公司
"全國性繳費/稅業務-晶片金融卡繳稅作業",803,聯邦商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",805,遠東國際商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",806,元大商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",807,永豐商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",808,玉山商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",809,凱基商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",810,星展(台灣)商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",812,台新國際商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",815,日盛國際商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",816,安泰商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",822,中國信託商業銀行
"全國性繳費/稅業務-晶片金融卡繳稅作業",952,財團法人農漁會南區資訊中心
"全國性繳費/稅業務-晶片金融卡繳稅作業",997,中華民國信用合作社聯合社南區聯合資訊處理中心
"企業付款業務-金融EDI",004,臺灣銀行
"企業付款業務-金融EDI",005,臺灣土地銀行
"企業付款業務-金融EDI",006,合作金庫商業銀行
"企業付款業務-金融EDI",007,第一商業銀行
"企業付款業務-金融EDI",008,華南商業銀行
"企業付款業務-金融EDI",009,彰化商業銀行
"企業付款業務-金融EDI",011,上海商業儲蓄銀行
"企業付款業務-金融EDI",012,台北富邦商業銀行
"企業付款業務-金融EDI",013,國泰世華商業銀行
"企業付款業務-金融EDI",017,兆豐國際商業銀行
"企業付款業務-金融EDI",050,臺灣中小企業銀行
"企業付款業務-金融EDI",103,臺灣新光商業銀行
"企業付款業務-金融EDI",807,永豐商業銀行
"企業付款業務-金融EDI",812,台新國際商業銀行
"企業付款業務-金融EDI",815,日盛國際商業銀行
"企業付款業務-金融EDI",816,安泰商業銀行
"企業付款業務-金融EDI",822,中國信託商業銀行
"企業付款業務-金融XML",004,臺灣銀行
"企業付款業務-金融XML",005,臺灣土地銀行
"企業付款業務-金融XML",006,合作金庫商業銀行
"企業付款業務-金融XML",007,第一商業銀行
"企業付款業務-金融XML",008,華南商業銀行
"企業付款業務-金融XML",009,彰化商業銀行
"企業付款業務-金融XML",011,上海商業儲蓄銀行
"企業付款業務-金融XML",012,台北富邦商業銀行
"企業付款業務-金融XML",013,國泰世華商業銀行
"企業付款業務-金融XML",016,高雄銀行
"企業付款業務-金融XML",017,兆豐國際商業銀行
"企業付款業務-金融XML",021,花旗(台灣)商業銀行
"企業付款業務-金融XML",039,澳商澳盛銀行台北分行
"企業付款業務-金融XML",048,王道商業銀行
"企業付款業務-金融XML",050,臺灣中小企業銀行
"企業付款業務-金融XML",052,渣打國際商業銀行
"企業付款業務-金融XML",053,台中商業銀行
"企業付款業務-金融XML",054,京城商業銀行
"企業付款業務-金融XML",081,匯豐(台灣)商業銀行
"企業付款業務-金融XML",101,瑞興商業銀行
"企業付款業務-金融XML",102,華泰商業銀行
"企業付款業務-金融XML",103,臺灣新光商業銀行
"企業付款業務-金融XML",108,陽信商業銀行
"企業付款業務-金融XML",118,板信商業銀行
"企業付款業務-金融XML",147,三信商業銀行
"企業付款業務-金融XML",700,中華郵政股份有限公司
"企業付款業務-金融XML",803,聯邦商業銀行
"企業付款業務-金融XML",805,遠東國際商業銀行
"企業付款業務-金融XML",806,元大商業銀行
"企業付款業務-金融XML",807,永豐商業銀行
"企業付款業務-金融XML",808,玉山商業銀行
"企業付款業務-金融XML",809,凱基商業銀行
"企業付款業務-金融XML",810,星展(台灣)商業銀行
"企業付款業務-金融XML",812,台新國際商業銀行
"企業付款業務-金融XML",815,日盛國際商業銀行
"企業付款業務-金融XML",816,安泰商業銀行
"企業付款業務-金融XML",822,中國信託商業銀行
"信用卡業務(發卡)",004,臺灣銀行
"信用卡業務(發卡)",005,臺灣土地銀行
"信用卡業務(發卡)",006,合作金庫商業銀行
"信用卡業務(發卡)",009,彰化商業銀行
"信用卡業務(發卡)",016,高雄銀行
"信用卡業務(發卡)",050,臺灣中小企業銀行
"信用卡業務(收單)",004,臺灣銀行
"信用卡業務(收單)",005,臺灣土地銀行
"信用卡業務(收單)",006,合作金庫商業銀行
"信用卡業務(收單)",007,第一商業銀行
"信用卡業務(收單)",009,彰化商業銀行
"信用卡業務(收單)",011,上海商業儲蓄銀行
"信用卡業務(收單)",016,高雄銀行
"信用卡業務(收單)",050,臺灣中小企業銀行
"信用卡業務(收單)",108,陽信商業銀行
"信用卡業務(收單)",807,永豐商業銀行
"金融卡SmartPay業務(發卡)",004,臺灣銀行
"金融卡SmartPay業務(發卡)",005,臺灣土地銀行
"金融卡SmartPay業務(發卡)",006,合作金庫商業銀行
"金融卡SmartPay業務(發卡)",007,第一商業銀行
"金融卡SmartPay業務(發卡)",008,華南商業銀行
"金融卡SmartPay業務(發卡)",009,彰化商業銀行
"金融卡SmartPay業務(發卡)",011,上海商業儲蓄銀行
"金融卡SmartPay業務(發卡)",012,台北富邦商業銀行
"金融卡SmartPay業務(發卡)",013,國泰世華商業銀行
"金融卡SmartPay業務(發卡)",016,高雄銀行
"金融卡SmartPay業務(發卡)",017,兆豐國際商業銀行
"金融卡SmartPay業務(發卡)",018,全國農業金庫
"金融卡SmartPay業務(發卡)",048,王道商業銀行
"金融卡SmartPay業務(發卡)",050,臺灣中小企業銀行
"金融卡SmartPay業務(發卡)",053,台中商業銀行
"金融卡SmartPay業務(發卡)",054,京城商業銀行
"金融卡SmartPay業務(發卡)",101,瑞興商業銀行
"金融卡SmartPay業務(發卡)",102,華泰商業銀行
"金融卡SmartPay業務(發卡)",103,臺灣新光商業銀行
"金融卡SmartPay業務(發卡)",108,陽信商業銀行
"金融卡SmartPay業務(發卡)",114,基隆第一信用合作社
"金融卡SmartPay業務(發卡)",115,基隆市第二信用合作社
"金融卡SmartPay業務(發卡)",118,板信商業銀行
"金融卡SmartPay業務(發卡)",119,淡水第一信用合作社
"金融卡SmartPay業務(發卡)",130,新竹第一信用合作社
"金融卡SmartPay業務(發卡)",132,新竹第三信用合作社
"金融卡SmartPay業務(發卡)",146,台中市第二信用合作社
"金融卡SmartPay業務(發卡)",147,三信商業銀行
"金融卡SmartPay業務(發卡)",162,彰化第六信用合作社
"金融卡SmartPay業務(發卡)",204,高雄市第三信用合作社
"金融卡SmartPay業務(發卡)",215,花蓮第一信用合作社
"金融卡SmartPay業務(發卡)",216,花蓮第二信用合作社
"金融卡SmartPay業務(發卡)",600,農金資訊股份有限公司
"金融卡SmartPay業務(發卡)",700,中華郵政股份有限公司
"金融卡SmartPay業務(發卡)",803,聯邦商業銀行
"金融卡SmartPay業務(發卡)",805,遠東國際商業銀行
"金融卡SmartPay業務(發卡)",806,元大商業銀行
"金融卡SmartPay業務(發卡)",807,永豐商業銀行
"金融卡SmartPay業務(發卡)",808,玉山商業銀行
"金融卡SmartPay業務(發卡)",809,凱基商業銀行
"金融卡SmartPay業務(發卡)",812,台新商業銀行
"金融卡SmartPay業務(發卡)",815,日盛國際商業銀行
"金融卡SmartPay業務(發卡)",816,安泰商業銀行
"金融卡SmartPay業務(發卡)",822,中國信託商業銀行
"金融卡SmartPay業務(發卡)",952,財團法人農漁會南區資訊中心
"金融卡SmartPay業務(發卡)",997,中華民國信用合作社聯合社南區聯合資訊處理中心
"金融卡SmartPay業務(收單)",004,臺灣銀行
"金融卡SmartPay業務(收單)",005,臺灣土地銀行
"金融卡SmartPay業務(收單)",006,合作金庫商業銀行
"金融卡SmartPay業務(收單)",007,第一商業銀行
"金融卡SmartPay業務(收單)",008,華南商業銀行
"金融卡SmartPay業務(收單)",009,彰化商業銀行
"金融卡SmartPay業務(收單)",011,上海商業儲蓄銀行
"金融卡SmartPay業務(收單)",012,台北富邦商業銀行
"金融卡SmartPay業務(收單)",013,國泰世華商業銀行
"金融卡SmartPay業務(收單)",016,高雄銀行
"金融卡SmartPay業務(收單)",017,兆豐國際商業銀行
"金融卡SmartPay業務(收單)",050,臺灣中小企業銀行
"金融卡SmartPay業務(收單)",053,台中商業銀行
"金融卡SmartPay業務(收單)",101,瑞興商業銀行
"金融卡SmartPay業務(收單)",102,華泰商業銀行
"金融卡SmartPay業務(收單)",103,臺灣新光商業銀行
"金融卡SmartPay業務(收單)",108,陽信商業銀行
"金融卡SmartPay業務(收單)",119,淡水第一信用合作社
"金融卡SmartPay業務(收單)",162,彰化第六信用合作社
"金融卡SmartPay業務(收單)",216,花蓮第二信用合作社
"金融卡SmartPay業務(收單)",600,農金資訊股份有限公司
"金融卡SmartPay業務(收單)",807,永豐商業銀行
"金融卡SmartPay業務(收單)",808,玉山商業銀行
"金融卡SmartPay業務(收單)",809,凱基商業銀行
"金融卡SmartPay業務(收單)",812,台新國際商業銀行
"金融卡SmartPay業務(收單)",822,中國信託商業銀行
"金融卡SmartPay業務(收單)",952,財團法人農漁會南區資訊中心
"金融卡SmartPay業務(收單)",956,財團法人聯合信用卡處理中心
"金融卡SmartPay業務(收單)",979,香港商台灣環匯亞太信用卡公司台灣分公司
"金融卡SmartPay業務(跨國-日本港澳)",004,臺灣銀行
"金融卡SmartPay業務(跨國-日本港澳)",005,臺灣土地銀行
"金融卡SmartPay業務(跨國-日本港澳)",006,合作金庫商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",007,第一商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",008,華南商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",009,彰化商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",011,上海商業儲蓄銀行
"金融卡SmartPay業務(跨國-日本港澳)",013,國泰世華商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",016,高雄銀行
"金融卡SmartPay業務(跨國-日本港澳)",017,兆豐國際商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",050,臺灣中小企業銀行
"金融卡SmartPay業務(跨國-日本港澳)",053,台中商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",103,臺灣新光商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",108,陽信商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",147,三信商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",216,花蓮第二信用合作社
"金融卡SmartPay業務(跨國-日本港澳)",803,聯邦商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",805,遠東國際商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",806,元大商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",807,永豐商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",808,玉山商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",812,台新國際商業銀行
"金融卡SmartPay業務(跨國-日本港澳)",815,日盛國際商業銀行
"Visa金融卡業務",004,臺灣銀行
"Visa金融卡業務",006,合作金庫商業銀行
"Visa金融卡業務",009,彰化商業銀行
"Visa金融卡業務",050,臺灣中小企業銀行
"Visa金融卡業務",053,台中商業銀行
"Visa金融卡業務",700,中華郵政股份有限公司
"網路ATM",004,臺灣銀行
"網路ATM",005,臺灣土地銀行
"網路ATM",006,合作金庫商業銀行
"網路ATM",007,第一商業銀行
"網路ATM",008,華南商業銀行
"網路ATM",009,彰化商業銀行
"網路ATM",011,上海商業儲蓄銀行
"網路ATM",012,台北富邦商業銀行
"網路ATM",013,國泰世華商業銀行
"網路ATM",016,高雄銀行
"網路ATM",017,兆豐國際商業銀行
"網路ATM",021,花旗(台灣)商業銀行
"網路ATM",050,臺灣中小企業銀行
"網路ATM",052,渣打國際商業銀行
"網路ATM",053,台中商業銀行
"網路ATM",054,京城商業銀行
"網路ATM",101,瑞興商業銀行
"網路ATM",102,華泰商業銀行
"網路ATM",103,臺灣新光商業銀行
"網路ATM",108,陽信商業銀行
"網路ATM",114,基隆第一信用合作社
"網路ATM",115,基隆市第二信用合作社
"網路ATM",118,板信商業銀行
"網路ATM",119,淡水第一信用合作社
"網路ATM",130,新竹第一信用合作社
"網路ATM",132,新竹第三信用合作社
"網路ATM",146,台中市第二信用合作社
"網路ATM",147,三信商業銀行
"網路ATM",162,彰化第六信用合作社
"網路ATM",215,花蓮第一信用合作社
"網路ATM",216,花蓮第二信用合作社
"網路ATM",600,農金資訊股份有限公司
"網路ATM",700,中華郵政股份有限公司
"網路ATM",803,聯邦商業銀行
"網路ATM",805,遠東國際商業銀行
"網路ATM",806,元大商業銀行
"網路ATM",807,永豐商業銀行
"網路ATM",808,玉山商業銀行
"網路ATM",809,凱基商業銀行
"網路ATM",812,台新國際商業銀行
"網路ATM",815,日盛國際商業銀行
"網路ATM",816,安泰商業銀行
"網路ATM",822,中國信託商業銀行
"網路ATM",952,財團法人農漁會南區資訊中心
"網路ATM",997,中華民國信用合作社聯合社南區聯合資訊處理中心
